Measured Depth m,Average Rotary Speed rpm,Corrected Total Hookload kkgf,MWD Turbine RPM rpm,Corrected Hookload kkgf,Mud Density Out g/cm3,Average Hookload kkgf,Total Hookload kkgf,ROPIH s/m,Lag Depth (TVD) m,Total Vertical Depth m,Mud Density In g/cm3,Mud Density In g/cm3.1,Averaged WOB kkgf,Hole Depth (TVD) m
842.4760000000001,,,,,,,,,,,,,,803.4369504
842.5369999999999,,,,,,,,,,,,,,803.48328
842.586,,,,,,,,,,,,,,803.5201607999999
842.62,144.0,173.33079875573003,3085.938,97.70515727511,,97.70515727511,108.35051660664,88.97637795275591,,,,1.19826420479462,,803.5454592
842.6439999999999,,,,,,,,,,,,,,803.564052
842.7719999999999,143.786,173.3539319666,,97.48244342144,,97.48244342144,108.35051660664,89.9606299212599,,,,1.19826420479462,,803.6606736
842.806,,,,,,,,,,,,,,803.6862768
842.86,,,,,,,,,,,,,,803.7277296
842.921,,,,,,,,,,,,,,803.7737544
842.924,143.321,173.37751876983998,,97.60083103001,,97.60083103001,108.35051660664,93.1102362204725,,,,1.19826420479462,,803.7761928
842.9760000000001,,,,,,,,,,,,,,803.8152072
843.0010000000001,,,,,,,,,,803.6699829101559,1.20000004768372,,8.08634939386908,
843.034,,,,,,,,,,,,,,803.8590984
843.077,143.321,173.40110557307997,3125.0,97.48788652988002,,97.48788652988002,108.35051660664,91.14173228346458,,,,1.19826420479462,,803.8914072000001
843.086,,,,,,,,,,,,,,803.8984176
843.1410000000001,,,,,,,,,,,,,,803.9398704
843.196,,,,,,,,,,,,,,803.9813232000001
843.2230000000001,,,,,,,,,,,,,,804.0020496000001
843.2289999999999,129.357,173.42741393054,,99.04053321239,,99.04053321239,108.35051660664,185.23622047244095,,,,1.19826420479462,,804.0066216
843.299,,,,,,,,,,,,,,804.0596568
843.382,104.0,173.4491863643,3085.938,94.81169154688,,94.81169154688,108.35051660664,93.1102362204725,,,,1.19826420479462,,804.121836
843.388,,,,,,,,,,,,,,804.126408
843.427,,,,,,,,,,,,,,804.1565832
843.4639999999999,,,,,,,,,,,,,,804.1840152000001
843.5219999999999,,,,,,,,,,,,,,804.2279063999999
843.534,104.0,173.47005161332,,90.71121652208,,90.71121652208,108.35051660664,112.40157480315,,,,1.19826420479462,,804.2370503999999
843.571,,,,,,,,,,,,,,804.2647872
843.622,,,,,,,,,,,,,,804.3038015999999
843.668,,,,,,,,,,,,,,804.3385488
843.686,104.0,173.49454560130002,,87.96607549884001,,87.96607549884001,108.35051660664,102.755905511811,,,,1.19826420479462,,804.3522648
843.717,,,,,,,,,,,,,,804.3754296
843.775,,,,,,,,,,,,,,804.419016
843.824,,,,,,,,,,,,,,804.4558967999999
843.8389999999999,45.067,173.51813240453998,3125.0,88.50993275046999,,88.50993275046999,108.35051660664,96.6535433070866,,,,1.19826420479462,,804.4674792000001
843.875,,,,,,,,,,,,,,804.495216
843.924,,,,,,,,,,,,,,804.5320968
843.9760000000001,,,,,,,,,,,,,,804.5711112
843.9910000000001,0.0,173.54126561541,,88.60110481684,,88.60110481684,108.35051660664,98.0314960629922,,,,1.19826420479462,,804.5826936000001
844.0,,,,,1.20000004768372,,,,811.0,,,,,
844.028,,,,,,,,,,,,,,804.6101256000001
844.08,,,,,,,,,,,,,,804.6494448
844.1339999999999,,,,,,,,,,,,,,804.6908976
844.1439999999999,0.0,173.56439882628,,88.87053868462,,88.87053868462,108.35051660664,96.8503937007874,,,,1.19826420479462,,804.6976032
844.186,,,,,,,,,,,,,,804.729912
844.232,,,,,,,,,,,,,,804.7646592
844.296,0.0,173.58798562952,3125.0,88.49088187093001,,88.49088187093001,108.35051660664,101.574803149606,,,,1.19826420479462,,804.8128176
844.336,,,,,,,,,,,,,,804.842688
844.3839999999999,,,,,,,,,,,,,,804.8795687999999
844.439,,,,,,,,,,,,,,804.9210216
